id,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,home_link
4232,LFSI,medium_airport,Saint-Dizier-Robinson (BA 113) Air Base,458,EU,FR,FR-G,Saint-Dizier/Robinson,
28999,LFSJ,small_airport,Sédan Douzy Airfield,512,EU,FR,FR-G,,
29000,LFSK,small_airport,Vitry Le François Vauclerc Airport,410,EU,FR,FR-G,St Dizier,
29001,LFSL,closed,Toul Rosières Air Base,936,EU,FR,FR-M,St Dizier,
4233,LFSM,medium_airport,Montbéliard-Courcelles Airfield,1041,EU,FR,FR-I,Montbéliard/Courcelles,
4234,LFSN,medium_airport,Nancy-Essey Airport,751,EU,FR,FR-M,Nancy/Essey,
4235,LFSO,medium_airport,Nancy-Ochey (BA 133) Air Base,1106,EU,FR,FR-M,Nancy/Ochey,
4236,LFSP,small_airport,Pontarlier Airport,2683,EU,FR,FR-I,Pontarlier,
30786,LFSQ,closed,Fontaine Airport,1208,EU,FR,FR-I,Belfort,
4237,LFSR,closed,Reims-Champagne (BA 112) Air Base,312,EU,FR,FR-G,Reims/Champagne,
315432,LFSS,small_airport,Saint Sulpice des Landes,,EU,FR,FR-R,,
4238,LFST,medium_airport,Strasbourg Airport,505,EU,FR,FR-A,Strasbourg,http://www.strasbourg.aeroport.fr/E/index.php
29002,LFSU,small_airport,Langres Rolampont Airport,1378,EU,FR,FR-G,Strasbourg,
29003,LFSV,small_airport,Pont St Vincent Airport,1306,EU,FR,FR-M,Strasbourg,
29004,LFSW,small_airport,Épernay Plivot Airport,289,EU,FR,FR-G,Strasbourg,
4239,LFSX,medium_airport,Luxeuil-Saint-Sauveur (BA 116) Air Base,913,EU,FR,FR-I,Luxeuil/Saint-Sauveur,
29777,LFSY,small_airport,Cessey Baigneux les Juifs Airfield,1175,EU,FR,FR-G,,
29005,LFSZ,closed,Vittel Champ De Course Airfield,1076,EU,FR,FR-M,,
4240,LFTF,small_airport,Cuers-Pierrefeu Airport,266,EU,FR,FR-U,Cuers/Pierrefeu,
4241,LFTH,medium_airport,Toulon-Hyères Airport,7,EU,FR,FR-U,Toulon/Hyères/Le Palyvestre,http://toulon-hyeres.aeroport.fr/
29006,LFTM,small_airport,Serres - La Bâtie-Montsaléon Airport,2345,EU,FR,FR-U,Hyeres,
29007,LFTN,small_airport,La Grand'combe Airport,1647,EU,FR,FR-K,Hyeres,
29008,LFTP,small_airport,Puimoisson Airport,2523,EU,FR,FR-U,Hyeres,http://www.puivolavoile.com/?lang=en
29009,LFTQ,small_airport,Châteaubriant Pouancé Airfield,322,EU,FR,FR-R,,
29010,LFTR,heliport,Toulon Navy Air Base,,EU,FR,FR-U,Hyeres,
29011,LFTU,closed,Fréjus Airport,33,EU,FR,FR-U,Fréjus,
4242,LFTW,medium_airport,Nîmes-Arles-Camargue Airport,309,EU,FR,FR-K,Nîmes/Garons,
4243,LFTZ,small_airport,La Môle Airport,59,EU,FR,FR-U,La Môle,
4244,LFVM,medium_airport,Miquelon Airport,10,NA,PM,PM-ML,Miquelon,
4245,LFVP,medium_airport,St Pierre Airport,27,NA,PM,PM-SP,Saint-Pierre,
4246,LFXA,medium_airport,Ambérieu Air Base (BA 278),823,EU,FR,FR-V,Ambérieu,
29012,LFXB,small_airport,Saintes Thénac Airport,118,EU,FR,FR-T,St Pierre I,
29013,LFXC,closed,Vittel (Auzainvilliers) Airfield,,EU,FR,FR-M,,
29014,LFXG,closed,Bitche Army Air Base,984,EU,FR,FR-M,St Pierre I,
29015,LFXH,closed,Le Valdahon Air Base,2067,EU,FR,FR-I,,
29016,LFXI,closed,Apt St Christol Air Base,2736,EU,FR,FR-U,Saint-Christol,
29017,LFXM,closed,Mourmelon Air Base,387,EU,FR,FR-G,,
29018,LFXQ,small_airport,Coëtquidan Air Base,,EU,FR,FR-E,Guer,
29019,LFXR,closed,Rochefort Soubise Airfield,13,EU,FR,FR-T,,
29020,LFXU,small_airport,Les Mureaux Airport,89,EU,FR,FR-J,St Pierre I,
4247,LFYD,closed,Damblain Air Base,1280,EU,FR,FR-M,Damblain,
29021,LFYG,small_airport,Cambrai Niergnies Airfield,312,EU,FR,FR-O,,
29022,LFYH,closed,Broyes-lès-Pesmes Air Base,682,EU,FR,FR-I,Broye-Aubigney-Montseugny,
